Date,Year,Month,Barangay,Barangay_cases
2021-09-01,2021,9,SANTA ESCOLASTICA,3
2021-09-01,2021,9,ALFONSO TABORA,2
2021-09-01,2021,9,BGH COMPOUND,2
2021-09-01,2021,9,CAMPO FILIPINO,2
2021-09-01,2021,9,LOPEZ JAENA,2
2021-09-01,2021,9,"MAGSAYSAY, LOWER",2
2021-09-01,2021,9,NEW LUCBAN,2
2021-09-01,2021,9,PACDAL,2
2021-09-01,2021,9,PUCSUSAN,2
2021-09-01,2021,9,"SANITARY CAMP, SOUTH",2
2021-09-01,2021,9,ANDRES BONIFACIO (LOWER BOKAWKAN),1
2021-09-01,2021,9,"AURORA HILL, SOUTH CENTRAL",1
2021-09-01,2021,9,BALSIGAN,1
2021-09-01,2021,9,BROOKSIDE,1
2021-09-01,2021,9,CAMP ALLEN,1
2021-09-01,2021,9,CITY CAMP CENTRAL,1
2021-09-01,2021,9,CRESENCIA VILLAGE,1
2021-09-01,2021,9,DIZON SUBDIVISION,1
2021-09-01,2021,9,ENGINEERS' HILL,1
2021-09-01,2021,9,FERDINAND (HAPPY HOMES-CAMPO SIOCO),1
2021-09-01,2021,9,FORT DEL PILAR,1
2021-09-01,2021,9,GABRIELA SILANG,1
2021-09-01,2021,9,GIBRALTAR,1
2021-09-01,2021,9,GUISAD CENTRAL,1
2021-09-01,2021,9,GUISAD SORONG,1
2021-09-01,2021,9,HAPPY HOLLOW,1
2021-09-01,2021,9,HILLSIDE,1
2021-09-01,2021,9,HOLY GHOST PROPER,1
2021-09-01,2021,9,IMELDA R. MARCOS (LA SALLE),1
2021-09-01,2021,9,MAGSAYSAY PRIVATE ROAD,1
2021-09-01,2021,9,PADRE BURGOS,1
2021-09-01,2021,9,PINGET,1
2021-09-01,2021,9,PINSAO PILOT PROJECT,1
2021-09-01,2021,9,PINSAO PROPER,1
2021-09-01,2021,9,QUEZON HILL PROPER,1
2021-09-01,2021,9,"ROCK QUARRY, LOWER",1
2021-09-01,2021,9,SAINT JOSEPH VILLAGE,1
2021-09-01,2021,9,SCOUT BARRIO,1
2021-09-01,2021,9,TRANCOVILLE,1
2021-10-01,2021,10,CAMP 7,6
2021-10-01,2021,10,BROOKSIDE,5
2021-10-01,2021,10,FAIRVIEW VILLAGE,5
2021-10-01,2021,10,BAKAKENG CENTRAL,4
2021-10-01,2021,10,GIBRALTAR,4
2021-10-01,2021,10,TRANCOVILLE,4
2021-10-01,2021,10,ASIN ROAD,3
2021-10-01,2021,10,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),3
2021-10-01,2021,10,BAKAKENG NORTH,3
2021-10-01,2021,10,BAYAN PARK WEST (BAYAN PARK),3
2021-10-01,2021,10,CITY CAMP PROPER,3
2021-10-01,2021,10,ENGINEERS' HILL,3
2021-10-01,2021,10,IRISAN,3
2021-10-01,2021,10,SANTA ESCOLASTICA,3
2021-10-01,2021,10,BGH COMPOUND,2
2021-10-01,2021,10,CAMP ALLEN,2
2021-10-01,2021,10,CITY CAMP CENTRAL,2
2021-10-01,2021,10,HAPPY HOLLOW,2
2021-10-01,2021,10,HOLY GHOST EXTENSION,2
2021-10-01,2021,10,HONEYMOON (HONEYMOON-HOLY GHOST),2
2021-10-01,2021,10,NEW LUCBAN,2
2021-10-01,2021,10,PINSAO PROPER,2
2021-10-01,2021,10,POLIWES,2
2021-10-01,2021,10,ALFONSO TABORA,1
2021-10-01,2021,10,"AURORA HILL, NORTH CENTRAL",1
2021-10-01,2021,10,BROOKSPOINT,1
2021-10-01,2021,10,COUNTRY CLUB VILLAGE,1
2021-10-01,2021,10,"DAGSIAN, LOWER",1
2021-10-01,2021,10,FERDINAND (HAPPY HOMES-CAMPO SIOCO),1
2021-10-01,2021,10,GUISAD CENTRAL,1
2021-10-01,2021,10,HAPPY HOMES (HAPPY HOMES-LUCBAN),1
2021-10-01,2021,10,HARRISON-CLAUDIO CARANTES,1
2021-10-01,2021,10,KABAYANIHAN,1
2021-10-01,2021,10,LOPEZ JAENA,1
2021-10-01,2021,10,MAGSAYSAY PRIVATE ROAD,1
2021-10-01,2021,10,"MODERN SITE, EAST",1
2021-10-01,2021,10,OUTLOOK DRIVE,1
2021-10-01,2021,10,PACDAL,1
2021-10-01,2021,10,PADRE BURGOS,1
2021-10-01,2021,10,PADRE ZAMORA,1
2021-10-01,2021,10,PINGET,1
2021-10-01,2021,10,QUEZON HILL PROPER,1
2021-10-01,2021,10,"QUEZON HILL, UPPER",1
2021-10-01,2021,10,"QUIRINO HILL, LOWER",1
2021-10-01,2021,10,"QUIRINO HILL, WEST",1
2021-10-01,2021,10,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",1
2021-10-01,2021,10,"ROCK QUARRY, LOWER",1
2021-10-01,2021,10,SAN VICENTE,1
2021-10-01,2021,10,"SANITARY CAMP, NORTH",1
2021-10-01,2021,10,"SANITARY CAMP, SOUTH",1
2021-10-01,2021,10,SESSION ROAD AREA,1
2021-10-01,2021,10,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),1
2021-10-01,2021,10,SLU-SVP HOUSING VILLAGE,1
2021-11-01,2021,11,CAMP 7,12
2021-11-01,2021,11,IRISAN,9
2021-11-01,2021,11,GIBRALTAR,6
2021-11-01,2021,11,SAINT JOSEPH VILLAGE,6
2021-11-01,2021,11,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),5
2021-11-01,2021,11,BAKAKENG CENTRAL,5
2021-11-01,2021,11,SAN LUIS VILLAGE,5
2021-11-01,2021,11,BAKAKENG NORTH,3
2021-11-01,2021,11,FAIRVIEW VILLAGE,3
2021-11-01,2021,11,HOLY GHOST EXTENSION,3
2021-11-01,2021,11,KIAS,3
2021-11-01,2021,11,LOAKAN PROPER,3
2021-11-01,2021,11,PINGET,3
2021-11-01,2021,11,POLIWES,3
2021-11-01,2021,11,ASIN ROAD,2
2021-11-01,2021,11,BGH COMPOUND,2
2021-11-01,2021,11,BROOKSIDE,2
2021-11-01,2021,11,CITY CAMP PROPER,2
2021-11-01,2021,11,GREENWATER VILLAGE,2
2021-11-01,2021,11,IMELDA R. MARCOS (LA SALLE),2
2021-11-01,2021,11,PACDAL,2
2021-11-01,2021,11,PINSAO PROPER,2
2021-11-01,2021,11,SANTO TOMAS PROPER,2
2021-11-01,2021,11,BALSIGAN,1
2021-11-01,2021,11,BAYAN PARK VILLAGE,1
2021-11-01,2021,11,BROOKSPOINT,1
2021-11-01,2021,11,CABINET HILL-TEACHER'S CAMP,1
2021-11-01,2021,11,CITY CAMP CENTRAL,1
2021-11-01,2021,11,CRESENCIA VILLAGE,1
2021-11-01,2021,11,DOMINICAN HILL-MIRADOR,1
2021-11-01,2021,11,DONTOGAN,1
2021-11-01,2021,11,ENGINEERS' HILL,1
2021-11-01,2021,11,GUISAD CENTRAL,1
2021-11-01,2021,11,HOLY GHOST PROPER,1
2021-11-01,2021,11,LOURDES SUBDIVISION EXTENSION,1
2021-11-01,2021,11,"LOURDES SUBDIVISION, LOWER",1
2021-11-01,2021,11,LUALHATI,1
2021-11-01,2021,11,"MARKET SUBDIVISION, UPPER",1
2021-11-01,2021,11,MIDDLE QUEZON HILL SUBDIVISION(QUEZON HILL MIDDLE),1
2021-11-01,2021,11,MINES VIEW PARK,1
2021-11-01,2021,11,"MODERN SITE, EAST",1
2021-11-01,2021,11,NEW LUCBAN,1
2021-11-01,2021,11,OUTLOOK DRIVE,1
2021-11-01,2021,11,PADRE BURGOS,1
2021-11-01,2021,11,PUCSUSAN,1
2021-11-01,2021,11,QUEZON HILL PROPER,1
2021-11-01,2021,11,"QUIRINO HILL, EAST",1
2021-11-01,2021,11,"QUIRINO HILL, LOWER",1
2021-11-01,2021,11,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",1
2021-11-01,2021,11,"ROCK QUARRY, LOWER",1
2021-11-01,2021,11,SAN ROQUE VILLAGE,1
2021-11-01,2021,11,"SANITARY CAMP, SOUTH",1
2021-11-01,2021,11,SANTA ESCOLASTICA,1
2021-11-01,2021,11,SCOUT BARRIO,1
2021-11-01,2021,11,TEODORA ALONZO,1
2021-11-01,2021,11,TRANCOVILLE,1
2021-12-01,2021,12,CAMP 7,5
2021-12-01,2021,12,BAKAKENG CENTRAL,4
2021-12-01,2021,12,NEW LUCBAN,4
2021-12-01,2021,12,PINSAO PILOT PROJECT,4
2021-12-01,2021,12,ENGINEERS' HILL,3
2021-12-01,2021,12,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",3
2021-12-01,2021,12,ASIN ROAD,2
2021-12-01,2021,12,CAMP 8,2
2021-12-01,2021,12,HOLY GHOST EXTENSION,2
2021-12-01,2021,12,IRISAN,2
2021-12-01,2021,12,"MAGSAYSAY, UPPER",2
2021-12-01,2021,12,SANTO TOMAS PROPER,2
2021-12-01,2021,12,TRANCOVILLE,2
2021-12-01,2021,12,A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),1
2021-12-01,2021,12,ALFONSO TABORA,1
2021-12-01,2021,12,AMBIONG,1
2021-12-01,2021,12,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),1
2021-12-01,2021,12,"AURORA HILL, NORTH CENTRAL",1
2021-12-01,2021,12,BAKAKENG NORTH,1
2021-12-01,2021,12,BALSIGAN,1
2021-12-01,2021,12,BAYAN PARK WEST (BAYAN PARK),1
2021-12-01,2021,12,BROOKSIDE,1
2021-12-01,2021,12,DONTOGAN,1
2021-12-01,2021,12,FAIRVIEW VILLAGE,1
2021-12-01,2021,12,"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",1
2021-12-01,2021,12,"GENERAL LUNA, UPPER",1
2021-12-01,2021,12,GIBRALTAR,1
2021-12-01,2021,12,KIAS,1
2021-12-01,2021,12,LOAKAN PROPER,1
2021-12-01,2021,12,MRR-QUEEN OF PEACE,1
2021-12-01,2021,12,PACDAL,1
2021-12-01,2021,12,PINSAO PROPER,1
2021-12-01,2021,12,"QUIRINO HILL, LOWER",1
